Itaxon_id	taxon_name	taxon_rank	taxon_clade	phylum	subphylum	class	subclass	order	suborder	superfamily	family	taxon_subfamily	tribe	taxon_genus	taxon_subgenus	pbdb_taxon_no	max_length	max_area	max_vol	extinct_max_length	extinct_max_area	extinct_max_vol	fad_int	lad_int	fad_age	lad_age	range_source	range_year	in_sepkoski	tiering	motility	feeding	ecospace	diet	calc_max_vol	extinct_calc_max_vol	extant	eco_ref	marine	brackish	freshwater	terrestrial
165302	Oxycomanthus	genus		Echinodermata		Crinoidea				Comasteroidea	Comasteridae	Comasterinae		Oxycomanthus			0.3836	0.1156	0.0246	0.3836	0.1156	0.0246	Holocene	Holocene	0.0117	0	Treatise	1978	f						0.018499413	0.018499413	t		t		f	f
165333	Comatulides	genus		Echinodermata		Crinoidea				Comasteroidea	Comasteridae			Comatulides			0.5498	0.2374	0.0577	0.5498	0.2374	0.0577	Holocene	Holocene	0.0117	0	Treatise	1978	f						0.054264526	0.054264526	t		t		f	f
165329	Comatilia	genus		Echinodermata		Crinoidea				Comasteroidea	Comasteridae			Comatilia			1.017333333	0.8129	0.3956	1.017333333	0.8129	0.3956	Holocene	Holocene	0.0117	0	Treatise	1978	f						0.341602823	0.341602823	t		t		f	f
165970	Orthometra	genus		Echinodermata		Crinoidea		Comatulida		Antedonoidea	Antedonidae	Bathymetrinae		Orthometra			1.37	1.3106	1.0642	1.37	1.3106	1.0642	Holocene	Holocene	0.0117	0	Treatise	2011	f						0.831674826	0.831674826	t		t		f	f
165966	Meteorometra	genus		Echinodermata		Crinoidea		Comatulida		Antedonoidea	Antedonidae	Bathymetrinae		Meteorometra			1.586666667	1.7675	1.6712	1.586666667	1.7675	1.6712	Holocene	Holocene	0.0117	0	Treatise	2011	f						1.289994957	1.289994957	t		t		f	f
166001	Erythrometra	genus		Echinodermata		Crinoidea		Comatulida		Antedonoidea	Antedonidae	Perometrinae		Erythrometra			1.951428571	2.9909	2.5864	1.951428571	2.9909	2.5864	Holocene	Holocene	0.0117	0	Treatise	2011	f						2.394734723	2.394734723	t		t		f	f
165972	Phrixometra	genus		Echinodermata		Crinoidea		Comatulida		Antedonoidea	Antedonidae	Bathymetrinae		Phrixometra			2.172	3.4391	4.6221	2.172	3.4391	4.6221	Holocene	Holocene	0.0117	0	Treatise	2011	f						3.298350787	3.298350787	t		t		f	f
164965	Proeudesicrinus	genus		Echinodermata		Crinoidea		Cyrtocrinidia	Holopodina		Eudesicrinidae			Proeudesicrinus			2.339333333			2.339333333			Holocene	Holocene	0.0117	0	Treatise	1978	f						4.117746568	4.117746568	t		t		f	f
165978	Tonrometra	genus		Echinodermata		Crinoidea		Comatulida		Antedonoidea	Antedonidae	Bathymetrinae		Tonrometra			2.418	4.592	6.9064	2.418	4.592	6.9064	Holocene	Holocene	0.0117	0	Treatise	2011	f						4.54572636	4.54572636	t		t		f	f
165987	Comatonia	genus		Echinodermata		Crinoidea		Comatulida		Antedonoidea	Antedonidae	Heliometrinae		Comatonia			2.48	3.5839	4.3963	2.48	3.5839	4.3963	Holocene	Holocene	0.0117	0	Treatise	2011	f						4.903153311	4.903153311	t		t		f	f
165933	Aporometra	genus		Echinodermata		Crinoidea		Comatulida		Notocrinoidea	Aporometridae			Aporometra			2.54	4.063	5.5166	2.54	4.063	5.5166	Holocene	Holocene	0.0117	0	Treatise	2011	f						5.266401537	5.266401537	t		t		f	f
165394	Homalometra	genus		Echinodermata		Crinoidea				Mariametroidea	Himerometridae			Homalometra			2.55	4.0356	5.4211	2.55	4.0356	5.4211	Holocene	Holocene	0.0117	0	Treatise	1978	f						5.328631313	5.328631313	t		t		f	f
165974	Retiometra	genus		Echinodermata		Crinoidea		Comatulida		Antedonoidea	Antedonidae	Bathymetrinae		Retiometra			2.602	4.0586	5.3736	2.602	4.0586	5.3736	Holocene	Holocene	0.0117	0	Treatise	2011	f						5.660126473	5.660126473	t		t		f	f
165368	Cyllometra	genus		Echinodermata		Crinoidea				Mariametroidea	Colobometridae			Cyllometra			2.836666667	5.0722	7.6985	2.836666667	5.0722	7.6985	Holocene	Holocene	0.0117	0	Treatise	1978	f						7.327240911	7.327240911	t		t		f	f
165968	Nepiometra	genus		Echinodermata		Crinoidea		Comatulida		Antedonoidea	Antedonidae	Bathymetrinae		Nepiometra			2.8675	6.458	8.5568	2.8675	6.458	8.5568	Holocene	Holocene	0.0117	0	Treatise	2011	f						7.567931087	7.567931087	t		t		f	f
165980	Trichometra	genus		Echinodermata		Crinoidea		Comatulida		Antedonoidea	Antedonidae	Bathymetrinae		Trichometra			2.894	6.5779	11.6648	2.894	6.5779	11.6648	Holocene	Holocene	0.0117	0	Treatise	2011	f						7.778951425	7.778951425	t		t		f	f
